,buffer,time
0,1,7.172223091125488
1,3,5.712552070617676
2,10,5.212157726287842
3,31,5.018597602844238
4,100,4.991459608078003
5,316,4.966449499130249
6,1000,4.903459548950195
7,3162,4.896958351135254
8,10000,4.81925368309021
9,31622,4.889709949493408
10,100000,4.872257947921753
11,316227,4.887916326522827
12,1000000,4.835763931274414
13,3162277,4.962404489517212
14,10000000,4.891364574432373
15,1,6.938230752944946
16,3,5.618078708648682
17,10,5.10369873046875
18,31,4.969261407852173
19,100,4.92523980140686
20,316,4.906742334365845
21,1000,4.846718788146973
22,3162,4.903891563415527
23,10000,4.8269617557525635
24,31622,4.809173583984375
25,100000,4.809511423110962
26,316227,4.820295333862305
27,1000000,4.847993850708008
28,3162277,4.93570351600647
29,10000000,4.917043924331665
30,1,6.939368009567261
31,3,5.618515968322754
32,10,5.142339468002319
33,31,4.982924461364746
34,100,4.933304071426392
35,316,4.9230451583862305
36,1000,4.903139114379883
37,3162,4.832546949386597
38,10000,4.865393161773682
39,31622,4.818964719772339
40,100000,4.834964036941528
41,316227,4.822305917739868
42,1000000,4.834327697753906
43,3162277,4.948876619338989
44,10000000,4.88409948348999
45,1,6.968110799789429
46,3,5.620105028152466
47,10,5.123926877975464
48,31,4.965286016464233
49,100,4.9179887771606445
50,316,4.876485824584961
51,1000,4.883646488189697
52,3162,4.81516432762146
53,10000,4.8175530433654785
54,31622,4.878538131713867
55,100000,4.880642652511597
56,316227,4.9399254322052
57,1000000,4.860882043838501
58,3162277,5.22651481628418
59,10000000,4.920145034790039
60,1,6.9598095417022705
61,3,5.679674386978149
62,10,5.160982131958008
63,31,4.993726968765259
64,100,4.935746669769287
65,316,4.938077211380005
66,1000,4.870045900344849
67,3162,4.946533441543579
68,10000,4.890711307525635
69,31622,4.878393173217773
70,100000,4.924815893173218
71,316227,4.971539258956909
72,1000000,4.921789884567261
73,3162277,4.999169111251831
74,10000000,5.006923675537109
75,1,6.9656617641448975
76,3,5.625056266784668
77,10,5.125868082046509
78,31,4.9697277545928955
79,100,4.950429439544678
80,316,4.969636917114258
81,1000,4.8558313846588135
82,3162,4.9241297245025635
83,10000,4.899977922439575
84,31622,4.810202121734619
85,100000,4.822190761566162
86,316227,4.825465202331543
87,1000000,4.841344594955444
88,3162277,4.97517991065979
89,10000000,4.899500370025635
90,1,6.913841724395752
91,3,5.615483045578003
92,10,5.129481315612793
93,31,4.969502687454224
94,100,4.919898748397827
95,316,4.872767686843872
96,1000,4.843032598495483
97,3162,4.817456007003784
98,10000,4.81273078918457
99,31622,4.804247617721558
100,100000,4.814274549484253
101,316227,4.8212950229644775
102,1000000,4.833546876907349
103,3162277,4.979522466659546
104,10000000,4.957576036453247
105,1,6.895987510681152
106,3,5.606378793716431
107,10,5.109644412994385
108,31,4.961803436279297
109,100,4.91739296913147
110,316,4.875180959701538
111,1000,4.825495481491089
112,3162,4.81230092048645
113,10000,4.820666790008545
114,31622,4.8041791915893555
115,100000,4.815539121627808
116,316227,4.891635417938232
117,1000000,4.904277324676514
118,3162277,5.025179386138916
119,10000000,4.932250022888184
120,1,6.929215431213379
121,3,5.60784912109375
122,10,5.108301877975464
123,31,4.961085081100464
124,100,4.919192790985107
125,316,4.878967523574829
126,1000,4.858025789260864
127,3162,4.816344738006592
128,10000,4.809579849243164
129,31622,4.805135250091553
130,100000,4.821985960006714
131,316227,4.838540077209473
132,1000000,4.843182802200317
133,3162277,4.9344871044158936
134,10000000,4.907519102096558
135,1,6.901488780975342
136,3,5.603559970855713
137,10,5.101966619491577
138,31,4.964845657348633
139,100,4.924971342086792
140,316,4.885951042175293
141,1000,4.8272385597229
142,3162,4.812491178512573
143,10000,4.823594808578491
144,31622,4.809612989425659
145,100000,4.810968637466431
146,316227,4.840289354324341
147,1000000,4.841937780380249
148,3162277,4.94120454788208
149,10000000,4.888806104660034
150,1,7.06529974937439
151,3,5.665562629699707
152,10,5.107249021530151
153,31,4.9634528160095215
154,100,4.918534994125366
155,316,4.901437044143677
156,1000,4.8279945850372314
157,3162,4.809088230133057
158,10000,4.80742335319519
159,31622,4.806240558624268
160,100000,4.8127121925354
161,316227,4.819464206695557
162,1000000,4.838299751281738
163,3162277,4.962453126907349
164,10000000,4.921360492706299
165,1,6.904149532318115
166,3,5.609097957611084
167,10,5.106322765350342
168,31,4.957711935043335
169,100,4.918211936950684
170,316,4.868689298629761
171,1000,4.839444160461426
172,3162,4.810643196105957
173,10000,4.805912256240845
174,31622,4.808548927307129
175,100000,4.839185953140259
176,316227,4.821667194366455
177,1000000,4.840924263000488
178,3162277,4.937798738479614
179,10000000,4.882892847061157
180,1,7.030208587646484
181,3,5.607560157775879
182,10,5.10057258605957
183,31,4.9819018840789795
184,100,4.921225309371948
185,316,4.874742746353149
186,1000,4.827508211135864
187,3162,4.815815448760986
188,10000,4.87314772605896
189,31622,4.871114015579224
190,100000,4.882500171661377
191,316227,4.826274394989014
192,1000000,5.085963487625122
193,3162277,4.9775073528289795
194,10000000,4.893609285354614
195,1,6.909879446029663
196,3,5.609605312347412
197,10,5.1245763301849365
198,31,4.962986707687378
199,100,4.9551756381988525
200,316,4.874099016189575
201,1000,4.885063171386719
202,3162,4.881371974945068
203,10000,4.872452020645142
204,31622,4.8779137134552
205,100000,4.8128662109375
206,316227,4.82548713684082
207,1000000,4.842125177383423
208,3162277,4.955798387527466
209,10000000,4.896298170089722
210,1,6.905963659286499
211,3,5.61184549331665
212,10,5.145215749740601
213,31,5.005773067474365
214,100,4.920225381851196
215,316,4.880604267120361
216,1000,4.846841096878052
217,3162,4.832229375839233
218,10000,4.8156774044036865
219,31622,4.81110143661499
220,100000,4.814469575881958
221,316227,4.885512590408325
222,1000000,4.904114246368408
223,3162277,5.011591672897339
224,10000000,4.894870758056641
225,1,6.919755458831787
226,3,5.6145617961883545
227,10,5.126015901565552
228,31,4.968146324157715
229,100,4.9235711097717285
230,316,4.881539583206177
231,1000,4.880162954330444
232,3162,4.86650824546814
233,10000,4.806855201721191
234,31622,4.836658239364624
235,100000,4.818889379501343
236,316227,4.823881387710571
237,1000000,4.83855414390564
238,3162277,4.959108352661133
239,10000000,4.934954881668091
240,1,6.911888599395752
241,3,5.611236095428467
242,10,5.112259387969971
243,31,4.965651988983154
244,100,4.933662414550781
245,316,4.874017715454102
246,1000,4.882812023162842
247,3162,4.844783067703247
248,10000,4.830158472061157
249,31622,4.809399127960205
250,100000,4.816091537475586
251,316227,4.830901861190796
252,1000000,4.884613275527954
253,3162277,4.936934232711792
254,10000000,4.911770820617676
255,1,6.931139707565308
256,3,5.607450008392334
257,10,5.10685920715332
258,31,4.961897134780884
259,100,4.918941974639893
260,316,4.872091054916382
261,1000,4.838969945907593
262,3162,4.84775972366333
263,10000,4.850848436355591
264,31622,4.838444709777832
265,100000,4.9153501987457275
266,316227,4.887547731399536
267,1000000,4.9220733642578125
268,3162277,5.043555021286011
269,10000000,4.956530332565308
270,1,6.907103538513184
271,3,5.611147880554199
272,10,5.118982315063477
273,31,5.008850574493408
274,100,4.927380084991455
275,316,4.878859519958496
276,1000,4.830100059509277
277,3162,4.8257057666778564
278,10000,4.809898376464844
279,31622,4.811689615249634
280,100000,4.815127372741699
281,316227,4.822836875915527
282,1000000,4.880852699279785
283,3162277,4.963332653045654
284,10000000,4.891219615936279
285,1,6.920018434524536
286,3,5.601424694061279
287,10,5.105294942855835
288,31,4.960345506668091
289,100,4.915715456008911
290,316,4.872653961181641
291,1000,4.828537940979004
292,3162,4.81372332572937
293,10000,4.808874130249023
294,31622,4.8031907081604
295,100000,4.812708854675293
296,316227,4.896730899810791
297,1000000,4.899983882904053
298,3162277,5.0109639167785645
299,10000000,4.880434036254883
